Date,MH_Onion,WB_Potato,WB_Onion,Kolkata_Diesel
01-04-2024,1241.95,1429.18,1693.15,90.76
02-04-2024,1244.77,1411.39,1856.15,90.76
03-04-2024,1271.83,1423.19,1789.23,90.76
04-04-2024,1233.7,1441.26,1719.01,90.76
05-04-2024,1214.36,1461.16,1818.78,90.76
06-04-2024,1164.26,1469.1,1846.25,90.76
07-04-2024,1199.63,1463.63,1849.25,90.76
08-04-2024,1096.92,1479.97,1916.46,90.76
09-04-2024,1248.96,1495.66,1895.4,90.76
10-04-2024,1248.96,1488.19,1787.49,90.76
11-04-2024,1248.96,1519.74,1842.19,90.76
12-04-2024,1293.38,1558.12,1909.34,90.76
13-04-2024,1191.23,1662.89,1870.33,90.76
14-04-2024,1085.27,1783.27,1870.54,90.76
15-04-2024,1210.48,1880.69,1909.98,90.76
16-04-2024,1065.41,1872.62,1832.78,90.76
17-04-2024,1065.41,1910.37,1776.27,90.76
18-04-2024,1272.55,2022.36,1661.43,90.76
19-04-2024,1186.43,2036.08,1791.6,90.76
20-04-2024,1280.88,1999.37,1740.42,90.76
21-04-2024,1009.49,2010.67,1905.71,90.76
22-04-2024,1224.2,2038.21,1963.84,90.76
23-04-2024,1219.07,2072.25,1973.98,90.76
24-04-2024,1217.42,2095.45,1942.33,90.76
25-04-2024,1221.81,2068.75,2003.2,90.76
26-04-2024,1164.89,2075.49,2032.95,90.76
27-04-2024,1186.52,2068.59,2050.58,90.76
28-04-2024,1164.87,2116.69,2010.53,90.76
29-04-2024,1188.49,2072.04,1937.86,90.76
30-04-2024,1260.15,2077.5,1986.28,90.76
01-05-2024,1125.79,2085.77,2053.79,90.76
02-05-2024,1238.78,2066.84,1939.3,90.76
03-05-2024,1320.78,2084.24,1991.86,90.76
04-05-2024,1653.96,2103.14,1981.98,90.76
05-05-2024,1607.81,2089.54,1986.76,90.76
06-05-2024,1577.69,2099.03,2113.22,90.76
07-05-2024,1528.61,2043,2172.09,90.76
08-05-2024,1360.08,2081.81,2100.86,90.76
09-05-2024,1236.09,2119.08,2176.66,90.76
10-05-2024,1368.42,2163.27,2177.89,90.76
11-05-2024,1323.54,2137.9,2127.3,90.76
12-05-2024,1334.37,2176.45,2176.35,90.76
13-05-2024,1538.4,2232.69,2068.93,90.76
14-05-2024,1389.49,2210,2099.97,90.76
15-05-2024,1392.16,2192.9,2091.86,90.76
16-05-2024,1357.6,2205.82,2121.69,90.76
17-05-2024,1430.49,2179.55,2269.68,90.76
18-05-2024,1386.95,2181.68,2110.7,90.76
19-05-2024,1362.08,2225.05,2136.5,90.76
20-05-2024,1259.38,2166.27,2081.98,90.76
21-05-2024,1426.59,2158.67,2123.11,90.76
22-05-2024,1448.87,2176.73,2103.79,90.76
23-05-2024,1491.02,2187.33,2103.77,90.76
24-05-2024,1468.62,2204.79,2119.8,90.76
