All Type of Report (All Grades) for 01-Apr-2024 to 31-Mar-2026,,,,,,,,,,
State,Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-04-2024 to 31-03-2026,Arrival Unit,Min Price 01-04-2024 to 31-03-2026,Modal Price,Max Price 01-04-2024 to 31-03-2026,Price Unit
Maharashtra,Vegetables,Onion,01-04-2024,-,"15,241.00",Metric Tonnes,578.19,"1,241.95","1,742.94",Rs./Quintal
Maharashtra,Vegetables,Potato,01-04-2024,-,"2,878.70",Metric Tonnes,"1,573.21","1,939.81","2,289.86",Rs./Quintal
Maharashtra,Vegetables,Onion,02-04-2024,-,"12,229.80",Metric Tonnes,547.18,"1,244.77","1,760.06",Rs./Quintal
Maharashtra,Vegetables,Potato,02-04-2024,-,"3,210.00",Metric Tonnes,"1,556.72","1,930.72","2,264.49",Rs./Quintal
Maharashtra,Vegetables,Onion,03-04-2024,-,"14,730.40",Metric Tonnes,560,"1,271.83","1,704.35",Rs./Quintal
Maharashtra,Vegetables,Potato,03-04-2024,-,"2,980.60",Metric Tonnes,"1,567.33","1,949.87","2,286.40",Rs./Quintal
Maharashtra,Vegetables,Onion,04-04-2024,-,"17,484.70",Metric Tonnes,557.6,"1,233.70","1,633.18",Rs./Quintal
Maharashtra,Vegetables,Potato,04-04-2024,-,"2,599.90",Metric Tonnes,"1,548.82","1,907.43","2,263.12",Rs./Quintal
Maharashtra,Vegetables,Onion,05-04-2024,-,"17,578.15",Metric Tonnes,476.86,"1,214.36","1,641.71",Rs./Quintal
Maharashtra,Vegetables,Potato,05-04-2024,-,"2,369.00",Metric Tonnes,"1,559.76","1,928.57","2,297.50",Rs./Quintal
Maharashtra,Vegetables,Onion,06-04-2024,-,"21,313.80",Metric Tonnes,467.39,"1,164.26","1,573.70",Rs./Quintal
Maharashtra,Vegetables,Potato,06-04-2024,-,"2,166.20",Metric Tonnes,"1,479.34","1,850.83","2,218.47",Rs./Quintal
Maharashtra,Vegetables,Onion,07-04-2024,-,"8,107.94",Metric Tonnes,648.88,"1,199.63","1,627.50",Rs./Quintal
Maharashtra,Vegetables,Potato,07-04-2024,-,814.6,Metric Tonnes,"1,573.36","1,990.79","2,435.51",Rs./Quintal
Maharashtra,Vegetables,Onion,08-04-2024,-,"20,209.30",Metric Tonnes,466.34,"1,096.92","1,554.12",Rs./Quintal
Maharashtra,Vegetables,Potato,08-04-2024,-,"2,903.80",Metric Tonnes,"1,477.82","1,875.46","2,224.43",Rs./Quintal
Maharashtra,Vegetables,Onion,09-04-2024,-,"5,214.00",Metric Tonnes,644.66,"1,248.96","1,550.03",Rs./Quintal
Maharashtra,Vegetables,Potato,09-04-2024,-,673.8,Metric Tonnes,"1,698.06","2,087.78","2,386.60",Rs./Quintal
Maharashtra,Vegetables,Onion,12-04-2024,-,"3,438.90",Metric Tonnes,202.35,"1,293.38","1,554.41",Rs./Quintal
Maharashtra,Vegetables,Potato,12-04-2024,-,0.2,Metric Tonnes,"1,800.00","1,800.00","1,800.00",Rs./Quintal
Maharashtra,Vegetables,Onion,13-04-2024,-,"9,741.60",Metric Tonnes,481.83,"1,191.23","1,634.52",Rs./Quintal
Maharashtra,Vegetables,Potato,13-04-2024,-,951.9,Metric Tonnes,"1,447.07","1,945.73","2,296.62",Rs./Quintal
Maharashtra,Vegetables,Onion,14-04-2024,-,"2,852.03",Metric Tonnes,551.89,"1,085.27","1,561.10",Rs./Quintal
Maharashtra,Vegetables,Potato,14-04-2024,-,796.1,Metric Tonnes,"1,492.60","2,019.86","2,547.12",Rs./Quintal
Maharashtra,Vegetables,Onion,15-04-2024,-,"23,780.80",Metric Tonnes,556.99,"1,210.48","1,629.80",Rs./Quintal
Maharashtra,Vegetables,Potato,15-04-2024,-,"2,674.10",Metric Tonnes,"1,470.43","1,916.19","2,277.50",Rs./Quintal
Maharashtra,Vegetables,Onion,16-04-2024,-,"1,838.80",Metric Tonnes,598.18,"1,065.41","1,500.00",Rs./Quintal
Maharashtra,Vegetables,Potato,16-04-2024,-,523.2,Metric Tonnes,"1,515.19","2,009.12","2,503.04",Rs./Quintal
Maharashtra,Vegetables,Onion,18-04-2024,-,"3,469.16",Metric Tonnes,300,"1,272.55","1,700.00",Rs./Quintal
Maharashtra,Vegetables,Onion,19-04-2024,-,"21,856.62",Metric Tonnes,476.02,"1,186.43","1,592.88",Rs./Quintal
Maharashtra,Vegetables,Potato,19-04-2024,-,"1,832.70",Metric Tonnes,"1,534.43","1,950.97","2,363.34",Rs./Quintal
Maharashtra,Vegetables,Onion,20-04-2024,-,"2,062.86",Metric Tonnes,642.61,"1,280.88","1,465.85",Rs./Quintal
Maharashtra,Vegetables,Potato,20-04-2024,-,110.9,Metric Tonnes,"1,527.68","1,840.49","2,153.29",Rs./Quintal
Maharashtra,Vegetables,Onion,21-04-2024,-,"4,371.23",Metric Tonnes,343.93,"1,009.49","1,497.72",Rs./Quintal
Maharashtra,Vegetables,Potato,21-04-2024,-,856.5,Metric Tonnes,"1,560.46","2,039.87","2,516.92",Rs./Quintal
Maharashtra,Vegetables,Onion,22-04-2024,-,"19,239.96",Metric Tonnes,592.23,"1,224.20","1,559.79",Rs./Quintal
Maharashtra,Vegetables,Potato,22-04-2024,-,"2,533.50",Metric Tonnes,"1,548.40","1,965.98","2,381.91",Rs./Quintal
Maharashtra,Vegetables,Onion,23-04-2024,-,"7,328.71",Metric Tonnes,540.57,"1,219.07","1,694.82",Rs./Quintal
Maharashtra,Vegetables,Potato,23-04-2024,-,46.9,Metric Tonnes,553.52,"1,615.67","2,677.83",Rs./Quintal
Maharashtra,Vegetables,Onion,24-04-2024,-,"16,287.00",Metric Tonnes,507.04,"1,217.42","1,603.78",Rs./Quintal
Maharashtra,Vegetables,Potato,24-04-2024,-,"2,256.80",Metric Tonnes,"1,704.83","2,065.53","2,376.32",Rs./Quintal
Maharashtra,Vegetables,Onion,25-04-2024,-,"21,159.70",Metric Tonnes,494.81,"1,221.81","1,586.38",Rs./Quintal
Maharashtra,Vegetables,Potato,25-04-2024,-,"2,837.60",Metric Tonnes,"1,631.76","2,071.94","2,419.32",Rs./Quintal
Maharashtra,Vegetables,Onion,26-04-2024,-,"16,457.93",Metric Tonnes,484.92,"1,164.89","1,611.60",Rs./Quintal
Maharashtra,Vegetables,Potato,26-04-2024,-,"2,195.90",Metric Tonnes,"1,777.38","2,100.94","2,422.05",Rs./Quintal
Maharashtra,Vegetables,Onion,27-04-2024,-,"11,729.61",Metric Tonnes,533.7,"1,186.52","1,627.80",Rs./Quintal
Maharashtra,Vegetables,Potato,27-04-2024,-,"2,393.20",Metric Tonnes,"1,619.22","2,016.64","2,341.72",Rs./Quintal
Maharashtra,Vegetables,Onion,28-04-2024,-,"6,330.13",Metric Tonnes,562.83,"1,164.87","1,588.25",Rs./Quintal
