Date,Delhi,Mumbai,Chennai,Kolkata
31-Mar-26,87.67,90.03,92.39,92.02
30-Mar-26,87.67,90.03,92.39,92.02
29-Mar-26,87.67,90.03,92.39,92.02
28-Mar-26,87.67,90.03,92.39,92.02
27-Mar-26,87.67,90.03,92.39,92.02
26-Mar-26,87.67,90.03,92.39,92.02
25-Mar-26,87.67,90.03,92.39,92.02
24-Mar-26,87.67,90.03,92.39,92.02
23-Mar-26,87.67,90.03,92.39,92.02
22-Mar-26,87.67,90.03,92.39,92.02
21-Mar-26,87.67,90.03,92.39,92.02
20-Mar-26,87.67,90.03,92.39,92.02
19-Mar-26,87.67,90.03,92.39,92.02
18-Mar-26,87.67,90.03,92.39,92.02
17-Mar-26,87.67,90.03,92.39,92.02
16-Mar-26,87.67,90.03,92.39,92.02
15-Mar-26,87.67,90.03,92.39,92.02
14-Mar-26,87.67,90.03,92.39,92.02
13-Mar-26,87.67,90.03,92.39,92.02
12-Mar-26,87.67,90.03,92.39,92.02
11-Mar-26,87.67,90.03,92.39,92.02
10-Mar-26,87.67,90.03,92.39,92.02
09-Mar-26,87.67,90.03,92.39,92.02
08-Mar-26,87.67,90.03,92.39,92.02
07-Mar-26,87.67,90.03,92.39,92.02
06-Mar-26,87.67,90.03,92.39,92.02
05-Mar-26,87.67,90.03,92.39,92.02
04-Mar-26,87.67,90.03,92.39,92.02
03-Mar-26,87.67,90.03,92.39,92.02
02-Mar-26,87.67,90.03,92.39,92.02
01-Mar-26,87.67,90.03,92.39,92.02
28-Feb-26,87.67,90.03,92.39,92.02
27-Feb-26,87.67,90.03,92.39,92.02
26-Feb-26,87.67,90.03,92.39,92.02
25-Feb-26,87.67,90.03,92.39,92.02
24-Feb-26,87.67,90.03,92.39,92.02
23-Feb-26,87.67,90.03,92.39,92.02
22-Feb-26,87.67,90.03,92.39,92.02
21-Feb-26,87.67,90.03,92.39,92.02
20-Feb-26,87.67,90.03,92.39,92.02
19-Feb-26,87.67,90.03,92.39,92.02
18-Feb-26,87.67,90.03,92.39,92.02
17-Feb-26,87.67,90.03,92.39,92.02
16-Feb-26,87.67,90.03,92.39,92.02
15-Feb-26,87.67,90.03,92.39,92.02
14-Feb-26,87.67,90.03,92.39,92.02
13-Feb-26,87.67,90.03,92.39,92.02
